method,fpr,tpr,roc_threshold,auc
unb_a3.0,0.15,0.95,1.1313705298985666,0.96995
unb_a3.0,0.16,0.96,1.1180337387499506,0.96995
unb_a3.0,0.22,0.96,0.9299808937343883,0.96995
unb_a3.0,0.24,0.96,0.8962579300221338,0.96995
unb_a3.0,0.24,0.98,0.8944269909999605,0.96995
unb_a3.0,0.32,0.98,0.6868026310642517,0.96995
unb_a3.0,0.32,0.99,0.6708202432499704,0.96995
unb_a3.0,0.42,0.99,0.44172600673843204,0.96995
unb_a3.0,0.44,0.99,0.43133099979051787,0.96995
unb_a3.0,0.56,0.99,0.22360674774999012,0.96995
unb_a3.0,0.56,1.0,0.2236067477499901,0.96995
unb_a3.0,0.58,1.0,0.11704111979887671,0.96995
unb_a3.0,0.6,1.0,0.11547002717126463,0.96995
unb_a3.0,0.61,1.0,0.11250876477615239,0.96995
unb_a3.0,0.68,1.0,0.0,0.96995
unb_a3.0,0.82,1.0,-0.5423260268996071,0.96995
unb_a3.0,0.84,1.0,-0.6546535278508655,0.96995
unb_a3.0,0.94,1.0,-1.4924046963075226,0.96995
unb_a3.0,0.96,1.0,-1.6499154338798137,0.96995
unb_a3.0,1.0,1.0,-2.529821328134956,0.96995
unb_a3.5,0.0,0.0,inf,0.9939
unb_a3.5,0.0,0.01,5.813775441499743,0.9939
unb_a3.5,0.0,0.05,5.366561945999763,0.9939
unb_a3.5,0.0,0.1,5.142955198249773,0.9939
unb_a3.5,0.0,0.18,4.919348450499783,0.9939
unb_a3.5,0.0,0.24,4.6957417027497925,0.9939
unb_a3.5,0.0,0.31,4.472134954999802,0.9939
unb_a3.5,0.0,0.35,4.248528207249812,0.9939
unb_a3.5,0.0,0.4,4.024921459499822,0.9939
unb_a3.5,0.0,0.47,3.801314711749832,0.9939
unb_a3.5,0.0,0.69,3.354101216249852,0.9939
unb_a3.5,0.01,0.69,3.170374977656312,0.9939
unb_a3.5,0.01,0.73,3.1304944684998617,0.9939
unb_a3.5,0.01,0.84,2.906887720749872,0.9939
unb_a3.5,0.01,0.86,2.683280972999881,0.9939
unb_a3.5,0.01,0.91,2.4596742252498918,0.9939
unb_a3.5,0.03,0.91,2.27776931297835,0.9939
unb_a3.5,0.03,0.95,2.236067477499901,0.9939
unb_a3.5,0.04,0.95,2.193930516254028,0.9939
unb_a3.5,0.04,0.98,2.012460729749911,0.9939
unb_a3.5,0.07,0.98,1.8599617874687766,0.9939
unb_a3.5,0.07,0.99,1.788853981999921,0.9939
unb_a3.5,0.08,0.99,1.60816845742918,0.9939
unb_a3.5,0.08,1.0,1.5652472342499308,0.9939
unb_a3.5,0.22,1.0,0.9299808937343883,0.9939
unb_a3.5,0.24,1.0,0.8962579300221338,0.9939
unb_a3.5,0.42,1.0,0.44172600673843204,0.9939
unb_a3.5,0.44,1.0,0.43133099979051787,0.9939
unb_a3.5,0.58,1.0,0.11704111979887671,0.9939
unb_a3.5,0.6,1.0,0.11547002717126463,0.9939
unb_a3.5,0.61,1.0,0.11250876477615239,0.9939
unb_a3.5,0.68,1.0,0.0,0.9939
unb_a3.5,0.82,1.0,-0.5423260268996071,0.9939
unb_a3.5,0.84,1.0,-0.6546535278508655,0.9939
unb_a3.5,0.94,1.0,-1.4924046963075226,0.9939
unb_a3.5,0.96,1.0,-1.6499154338798137,0.9939
unb_a3.5,1.0,1.0,-2.529821328134956,0.9939
